
# --------------------------------------------------------------------------------------------------------
# Contents:
# Dutch soil profiles, BOFEK clustering and hydraulic properties.
#
# Source:
# Soil map of the Netherlands: https://service.pdok.nl/bzk/bro-bodemkaart/atom/bro-bodemkaart.xml
# BOFEK clustering, Staringreeks: https://www.wur.nl/nl/show/bodemfysische-eenhedenkaart-bofek2020.htm
#
# Date:
# 2025-04-17
# --------------------------------------------------------------------------------------------------------

soil_id,soil_unit,soil_name,soil_classification,soil_landuse,bofek_cluster,bofek_dominant,bofek_name,bofek_area,layer_number,layer_faohorizon,layer_ztop,layer_zbot,layer_staringclass,layer_staringclassname,layer_staringdescription,layer_staringlabel,layer_orgmat,layer_pclay,layer_psilt,layer_bdens,layer_ores,layer_osat,layer_alfa,layer_npar,layer_lexp,layer_ksatfit
9013020,Y23,Holtpodzolgronden; lemig fijn zand,Podzolgronden,akkerbouw,3021,0,Sterk lemige zandgronden III,3868.69045,1,Ap,0.0,0.25,103,B03,sterk lemig zeer fijn tot matig fijn zand,st. lemig z.f.-m.f. zand,2.5,6,14,1.466,0.02,0.44279037,0.0149925,1.50488028,0.13920935,19.07723673
9013020,Y23,Holtpodzolgronden; lemig fijn zand,Podzolgronden,akkerbouw,3021,0,Sterk lemige zandgronden III,3868.69045,2,Bw,0.25,0.4,203,O03,sterk lemig zeer fijn tot matig fijn zand,st. lemig z.f.-m.f. zand,0.9,6,14,1.611,0.01,0.33981025,0.01724264,1.70339467,0.0001,12.36681012
9013020,Y23,Holtpodzolgronden; lemig fijn zand,Podzolgronden,akkerbouw,3021,0,Sterk lemige zandgronden III,3868.69045,3,BCw,0.4,0.7,202,O02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,0.7,4,12,1.634,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
9013020,Y23,Holtpodzolgronden; lemig fijn zand,Podzolgronden,akkerbouw,3021,0,Sterk lemige zandgronden III,3868.69045,4,Cu,0.7,1.2,202,O02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,0.3,4,10,1.66,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
9023020,Y23,Holtpodzolgronden; lemig fijn zand,Podzolgronden,bos,3004,0,Sterk lemige zandgronden I,2006.88008,1,Ah,0.0,0.13,103,B03,sterk lemig zeer fijn tot matig fijn zand,st. lemig z.f.-m.f. zand,3.5,6,14,1.427,0.02,0.44279037,0.0149925,1.50488028,0.13920935,19.07723673
9023020,Y23,Holtpodzolgronden; lemig fijn zand,Podzolgronden,bos,3004,0,Sterk lemige zandgronden I,2006.88008,2,Bw,0.13,0.35,203,O03,sterk lemig zeer fijn tot matig fijn zand,st. lemig z.f.-m.f. zand,1.6,6,14,1.578,0.01,0.33981025,0.01724264,1.70339467,0.0001,12.36681012
1120,aVp,"Madeveengronden op zand met humuspodzol, beginnend ondieper dan 1.2 m",Veengronden,grasland,1013,0,Dunne veengronden: moerige bovengrond op veen op zand met podzol,1282.66028,3,Ab,0.6,0.75,202,O02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,8.0,3,9,1.292,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
1120,aVp,"Madeveengronden op zand met humuspodzol, beginnend ondieper dan 1.2 m",Veengronden,grasland,1013,0,Dunne veengronden: moerige bovengrond op veen op zand met podzol,1282.66028,4,BCb,0.75,0.9,202,O02,zwak lemig zeer fijn tot matig fijn zand,zw. lemig z.f.-m.f. zand,3.0,3,9,1.538,0.02,0.3870639,0.01608317,1.52441823,2.43966226,22.76175599
1120,aVp,"Madeveengronden op zand met humuspodzol, beginnend ondieper dan 1.2 m",Veengronden,grasland,1013,0,Dunne veengronden: moerige bovengrond op veen op zand met podzol,1282.66028,5,Cu,0.9,1.2,201,O01,leemarm zeer fijn tot matig fijn zand,leemarm z.f.-m.f. zand,0.5,3,5,1.663,0.01,0.36584689,0.01598691,2.16275113,2.8679672,22.32215442
1130,pVb,Weideveengronden op bosveen (of eutroof broekveen),Veengronden,grasland,1018,1,Dikke veengronden: kleidek op bos-/zeggeveen of klei,16115.66328,1,Ahg,0.0,0.07,117,B17,venige klei,venige klei,28.0,60,35,0.607,0.0,0.71862598,0.01906191,1.1366583,0.0001,4.48373535
1130,pVb,Weideveengronden op bosveen (of eutroof broekveen),Veengronden,grasland,1018,1,Dikke veengronden: kleidek op bos-/zeggeveen of klei,16115.66328,2,ACg,0.07,0.2,213,O13,zeer zware klei,z.zw. klei,15.0,60,35,0.664,0.01,0.573268,0.02785405,1.07995207,-6.09131057,9.68929074
1130,pVb,Weideveengronden op bosveen (of eutroof broekveen),Veengronden,grasland,1018,1,Dikke veengronden: kleidek op bos-/zeggeveen of klei,16115.66328,3,Cwg,0.2,0.35,213,O13,zeer zware klei,z.zw. klei,15.0,68,27,0.261,0.01,0.573268,0.02785405,1.07995207,-6.09131057,9.68929074
1130,pVb,Weideveengronden op bosveen (of eutroof broekveen),Veengronden,grasland,1018,1,Dikke veengronden: kleidek op bos-/zeggeveen of klei,16115.66328,4,Cw,0.35,0.7,217,O17,mesotroof en eutroof veen,meso-eutroof veen,50.0,60,35,0.265,0.01,0.84863548,0.01192909,1.27153561,-1.24929996,3.40200949
1130,pVb,Weideveengronden op bosveen (of eutroof broekveen),Veengronden,grasland,1018,1,Dikke veengronden: kleidek op bos-/zeggeveen of klei,16115.66328,5,Cu,0.7,1.2,217,O17,mesotroof en eutroof veen,meso-eutroof veen,70.0,60,35,0.238,0.01,0.84863548,0.01192909,1.27153561,-1.24929996,3.40200949
1140,opVb,Weideveengronden op bosveen (of eutroof broekveen),,grasland,1012,0,Dikke veengronden: kleibovengrond op bos-/zeggeveen,3688.287658,1,Aap,0.0,0.1,117,B17,venige klei,venige klei,23.0,12,18,0.608,0.0,0.71862598,0.01906191,1.1366583,0.0001,4.48373535
1140,opVb,Weideveengronden op bosveen (of eutroof broekveen),,grasland,1012,0,Dikke veengronden: kleibovengrond op bos-/zeggeveen,3688.287658,2,ACg,0.1,0.3,210,O10,zware zavel,zware zavel,15.0,18,17,0.664,0.01,0.47234331,0.01004814,1.24569139,-0.79295916,2.30006721
1140,opVb,Weideveengronden op bosveen (of eutroof broekveen),,grasland,1012,0,Dikke veengronden: kleibovengrond op bos-/zeggeveen,3688.287658,3,Cw,0.3,0.7,217,O17,mesotroof en eutroof veen,meso-eutroof veen,50.0,60,35,0.265,0.01,0.84863548,0.01192909,1.27153561,-1.24929996,3.40200949
1140,opVb,Weideveengronden op bosveen (of eutroof broekveen),,grasland,1012,0,Dikke veengronden: kleibovengrond op bos-/zeggeveen,3688.287658,4,Cu,0.7,1.2,217,O17,mesotroof en eutroof veen,meso-eutroof veen,70.0,60,35,0.238,0.01,0.84863548,0.01192909,1.27153561,-1.24929996,3.40200949
1150,pVs,Weideveengronden op veenmosveen,Veengronden,grasland,1015,0,Dikke veengronden: klei-ig- dek op veenmosveen,7752.473083,1,Ah,0.0,0.05,117,B17,venige klei,venige klei,22.0,50,35,0.632,0.0,0.71862598,0.01906191,1.1366583,0.0001,4.48373535
1150,pVs,Weideveengronden op veenmosveen,Veengronden,grasland,1015,0,Dikke veengronden: klei-ig- dek op veenmosveen,7752.473083,2,ACg,0.05,0.15,213,O13,zeer zware klei,z.zw. klei,15.0,50,40,0.664,0.01,0.573268,0.02785405,1.07995207,-6.09131057,9.68929074
1150,pVs,Weideveengronden op veenmosveen,Veengronden,grasland,1015,0,Dikke veengronden: klei-ig- dek op veenmosveen,7752.473083,3,Cwg,0.15,0.3,218,O18,moerige tussenlaag,moerige tussenlaag,20.0,55,40,0.252,0.01,0.58027825,0.01265676,1.31617171,-0.78553413,35.95127916
